id,sci_name,title,url,type,thumbnailSrc,thumbnailSrcset,Location
4492,corydalis lutea,Yellow Corydalis,https://www.centralparknyc.org/plants/yellow-corydalis,"May-August, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/yellow_corydalis_m_l_2020-11-11-202716.jpg?mtime=20201111152716&focal=none&tmtime=20210419135204,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/yellow_corydalis_m_l_2020-11-11-202716.jpg?mtime=20201111152716&focal=none&tmtime=20210419135204, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/yellow_corydalis_m_l_2020-11-11-202716.jpg?mtime=20201111152716&focal=none&tmtime=20210419135205 2x",Conservatory Garden
4497,helianthus divaricatus,Woodland Sunflower,https://www.centralparknyc.org/plants/woodland-sunflower,"August-September, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/woodland-sunflower-l_2020-11-11-202717.jpg?mtime=20201111152717&focal=none&tmtime=20210419190952,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/woodland-sunflower-l_2020-11-11-202717.jpg?mtime=20201111152717&focal=none&tmtime=20210419190952, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/woodland-sunflower-l_2020-11-11-202717.jpg?mtime=20201111152717&focal=none&tmtime=20210419190952 2x",The Ramble
4497,helianthus divaricatus,Woodland Sunflower,https://www.centralparknyc.org/plants/woodland-sunflower,"August-September, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/woodland-sunflower-l_2020-11-11-202717.jpg?mtime=20201111152717&focal=none&tmtime=20210419190952,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/woodland-sunflower-l_2020-11-11-202717.jpg?mtime=20201111152717&focal=none&tmtime=20210419190952, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/woodland-sunflower-l_2020-11-11-202717.jpg?mtime=20201111152717&focal=none&tmtime=20210419190952 2x",Reservoir
4505,hamamelis virginiana,Witch Hazel,https://www.centralparknyc.org/plants/witch-hazel,"October-November, Shrub",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/witch-hazel-l_2020-11-11-202719.jpg?mtime=20201111152719&focal=none&tmtime=20210419190951,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/witch-hazel-l_2020-11-11-202719.jpg?mtime=20201111152719&focal=none&tmtime=20210419190951, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/witch-hazel-l_2020-11-11-202719.jpg?mtime=20201111152719&focal=none&tmtime=20210419190952 2x",Conservatory Garden
4505,hamamelis virginiana,Witch Hazel,https://www.centralparknyc.org/plants/witch-hazel,"October-November, Shrub",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/witch-hazel-l_2020-11-11-202719.jpg?mtime=20201111152719&focal=none&tmtime=20210419190951,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/witch-hazel-l_2020-11-11-202719.jpg?mtime=20201111152719&focal=none&tmtime=20210419190951, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/witch-hazel-l_2020-11-11-202719.jpg?mtime=20201111152719&focal=none&tmtime=20210419190952 2x",Hallett Nature Sanctuary
4505,hamamelis virginiana,Witch Hazel,https://www.centralparknyc.org/plants/witch-hazel,"October-November, Shrub",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/witch-hazel-l_2020-11-11-202719.jpg?mtime=20201111152719&focal=none&tmtime=20210419190951,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/witch-hazel-l_2020-11-11-202719.jpg?mtime=20201111152719&focal=none&tmtime=20210419190951, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/witch-hazel-l_2020-11-11-202719.jpg?mtime=20201111152719&focal=none&tmtime=20210419190952 2x",The Ramble
4505,hamamelis virginiana,Witch Hazel,https://www.centralparknyc.org/plants/witch-hazel,"October-November, Shrub",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/witch-hazel-l_2020-11-11-202719.jpg?mtime=20201111152719&focal=none&tmtime=20210419190951,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/witch-hazel-l_2020-11-11-202719.jpg?mtime=20201111152719&focal=none&tmtime=20210419190951, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/witch-hazel-l_2020-11-11-202719.jpg?mtime=20201111152719&focal=none&tmtime=20210419190952 2x",North Woods
4510,asarum canadense,Wild Ginger,https://www.centralparknyc.org/plants/wild-ginger,"May-June, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/wild-ginger_l_2020-11-11-202720.jpg?mtime=20201111152720&focal=none&tmtime=20210419135203,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/wild-ginger_l_2020-11-11-202720.jpg?mtime=20201111152720&focal=none&tmtime=20210419135203, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/wild-ginger_l_2020-11-11-202720.jpg?mtime=20201111152720&focal=none&tmtime=20210419135204 2x",Hallett Nature Sanctuary
4510,asarum canadense,Wild Ginger,https://www.centralparknyc.org/plants/wild-ginger,"May-June, Perennial",,,The Ramble
4515,geranium maculatum,Wild Geranium,https://www.centralparknyc.org/plants/wild-geranium,"May-June, Perennial",https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/wild-geranium_l_2020-11-11-202721.jpg?mtime=20201111152722&focal=none&tmtime=20210419135146,"https://assets.centralparknyc.org/media/images/_424x318_crop_center-center_none/wild-geranium_l_2020-11-11-202721.jpg?mtime=20201111152722&focal=none&tmtime=20210419135146, https://assets.centralparknyc.org/media/images/_848x636_crop_center-center_none/wild-geranium_l_2020-11-11-202721.jpg?mtime=20201111152722&focal=none&tmtime=20210419135146 2x",Hallett Nature Sanctuary
